,Brand,model,Year,kmDriven,Transmission,FuelType,AskPrice
2,Volkswagen,VentoTest,2010,77246.0,Manual,Diesel,184999.0
3,Maruti Suzuki,Swift,2017,83500.0,Manual,Diesel,565000.0
4,Maruti Suzuki,Baleno,2019,45000.0,Automatic,Petrol,685000.0
5,BMW,X3,2014,83000.0,Automatic,Diesel,1350000.0
8,Maruti Suzuki,maruti-suzuki-dzire,2020,33759.0,Manual,Petrol,622000.0
9,Ford,Ecosport,2017,69713.0,Manual,Petrol,649000.0
10,Maruti Suzuki,Alto-K10,2018,70000.0,Automatic,Petrol,395000.0
12,Maruti Suzuki,Swift-Dzire,2012,72700.0,Manual,Petrol,240000.0
13,Toyota,Corolla,2007,121931.0,Automatic,Petrol,201350.0
15,Hyundai,Xcent,2018,130000.0,Manual,Diesel,330000.0
16,Kia,Seltos,2020,68000.0,Manual,Diesel,1045000.0
17,Maruti Suzuki,Ertiga,2016,65000.0,Manual,Diesel,785000.0
18,Maruti Suzuki,Ertiga,2017,59000.0,Automatic,Petrol,555000.0
19,BMW,3 Series GT,2015,61000.0,Automatic,Diesel,1500000.0
21,Toyota,Innova Crysta,2017,107000.0,Automatic,Diesel,1325000.0
22,Honda,City,2010,99000.0,Manual,Petrol,295000.0
23,Audi,A3,2015,42000.0,Automatic,Diesel,1050000.0
24,Renault,KWID,2019,48073.0,Automatic,Petrol,355000.0
25,MG,Hector,2019,32618.0,Automatic,Petrol,1250000.0
26,Maruti Suzuki,Swift-Dzire,2012,70000.0,Manual,Diesel,315000.0
27,Maruti Suzuki,Celerio,2014,51000.0,Automatic,Petrol,345000.0
28,Maruti Suzuki,Vitara-Brezza,2018,137000.0,Manual,Diesel,845000.0
30,Toyota,Innova Crysta,2017,90000.0,Manual,Diesel,1950000.0
31,Toyota,Innova,2011,84000.0,Manual,Diesel,490000.0
33,Hyundai,Venue,2021,17000.0,Manual,Petrol,685000.0
34,Maruti Suzuki,Ertiga,2018,70000.0,Manual,Petrol,749000.0
35,Hyundai,Creta,2023,5000.0,Automatic,Petrol,1600000.0
36,Hyundai,Alcazar,2022,47110.0,Manual,Diesel,1695000.0
37,Hyundai,i20,2019,35000.0,Manual,Petrol,585000.0
39,Volkswagen,Polo,2021,42000.0,Manual,Petrol,675000.0
40,Maruti Suzuki,Baleno,2018,30000.0,Manual,Petrol,630000.0
41,Hyundai,Verna,2016,82100.0,Manual,Diesel,465000.0
42,Audi,A4,2012,90000.0,Automatic,Diesel,899000.0
44,Mercedes-Benz,C-Class,2015,65000.0,Automatic,Diesel,1750000.0
45,Hyundai,Creta,2022,30000.0,Automatic,Petrol,1690000.0
46,Maruti Suzuki,Swift-Dzire,2020,94856.0,Manual,Petrol,690000.0
47,Skoda,Kushaq,2023,12000.0,Automatic,Petrol,1800000.0
48,Maruti Suzuki,Ciaz,2018,0.0,Manual,Petrol,500000.0
50,Toyota,Innova Crysta,2018,118000.0,Automatic,Diesel,1795000.0
51,Mercedes-Benz,C-Class,2016,41000.0,Automatic,Petrol,2000000.0
52,Honda,City,2010,79000.0,Manual,Petrol,290000.0
53,Honda,BRV,2016,103001.0,Manual,Diesel,555555.0
54,Hyundai,Creta,2017,70000.0,Manual,Petrol,765000.0
55,Renault,Duster,2018,130000.0,Manual,Diesel,690000.0
56,Maruti Suzuki,Wagon-R,2011,78000.0,Manual,Petrol,225000.0
59,Hyundai,Eon,2017,27000.0,Manual,Petrol,300000.0
60,MG,Hector Plus,2020,81600.0,Automatic,Petrol,1021000.0
61,Hyundai,Creta,2017,54000.0,Automatic,Petrol,811000.0
62,Mahindra,XUV500,2018,76000.0,Manual,Diesel,1125000.0
64,Hyundai,i10,2011,65000.0,Manual,Petrol,115000.0
65,Mercedes-Benz,GLA Class,2018,60000.0,Automatic,Diesel,1450000.0
66,Kia,Carens,2023,24000.0,Manual,Petrol,1225000.0
67,Toyota,Innova,2011,100231.0,Manual,Diesel,429101.0
68,Maruti Suzuki,Ignis,2023,13000.0,Manual,Petrol,610000.0
69,Hyundai,Grand i10,2017,47000.0,Manual,Petrol,519999.0
70,Hyundai,Getz Prime,2007,115031.0,Manual,Petrol,140000.0
71,Maruti Suzuki,Swift,2014,67000.0,Manual,Petrol,280000.0
72,Hyundai,Xcent,2016,74500.0,Manual,Diesel,425000.0
73,Honda,City,2016,93000.0,Automatic,Petrol,575000.0
74,Maruti Suzuki,Ritz,2015,59000.0,Manual,Petrol,295000.0
75,Toyota,Innova Crysta,2017,79000.0,Automatic,Diesel,1725000.0
76,Hyundai,Verna,2022,69000.0,Automatic,Diesel,1250000.0
77,Hyundai,Creta,2015,76000.0,Automatic,Diesel,650000.0
78,Kia,Sonet,2020,34500.0,Automatic,Petrol,935000.0
79,Ford,Ecosport,2016,130000.0,Manual,Diesel,400000.0
84,Maruti Suzuki,Ertiga,2015,75000.0,Manual,Diesel,435000.0
85,Volkswagen,Polo,2012,80000.0,Manual,Diesel,300000.0
86,Maruti Suzuki,Wagon-R,2016,50000.0,Manual,Petrol,245000.0
87,Tata,Nexon,2022,40000.0,Automatic,Petrol,680000.0
88,Maruti Suzuki,Ritz,2013,87000.0,Manual,Diesel,385000.0
90,Volkswagen,CrossPolo,2014,80000.0,Manual,Diesel,425000.0
91,Maruti Suzuki,Wagon-R,2014,84000.0,Manual,Petrol,265000.0
92,Volkswagen,Polo,2021,18000.0,Automatic,Petrol,850000.0
93,Maruti Suzuki,Baleno,2017,47000.0,Automatic,Petrol,575000.0
94,Volkswagen,Vento,2011,134000.0,Manual,Diesel,425000.0
95,Maruti Suzuki,Alto-K10,2011,82000.0,Manual,Petrol,180000.0
96,Maruti Suzuki,Celerio,2015,35000.0,Automatic,Petrol,425000.0
